20
10
3 4 5
1H -> 0
1D -> 0
2H -> 0
2D -> 0
3H -> 0
3D -> 0
4H -> 0
4D -> 0
5H -> 0
5D -> 0
6H -> 0
6D -> 0
7H -> 7
7D -> 20
8H -> 8
1H 4H 6H 7D -> 27
1H 4H 6H 8H -> 27
1H 4H 6H 8D -> 27
1H 4H 6D 7H -> 27
1H 4H 6D 7D -> 27
1H 4H 6D 8H -> 27
1H 4H 6D 8D -> 27
1H 4H 7H 7D -> 27
1H 4D 5H 5D -> 27
1H 4D 5H 6H -> 27
1H 4D 5H 6D -> 27
1H 4D 5H 7H -> 27
1H 4D 5H 7D -> 27
1H 4D 5H 8H -> 27
1H 4D 5H 8D -> 27
1H 4D 5H 9H -> 27
1H 4D 5H 9D -> 27
1H 4D 5D 6H -> 27
1H 4D 5D 6D -> 27
1H 4D 5D 7H -> 27
1H 4D 5D 7D -> 27
1H 4D 5D 8H -> 27
1H 4D 5D 8D -> 27
1H 4D 5D 9H -> 27
1H 4D 5D 9D -> 27
1H 4D 6H 6D -> 27
1H 4D 6H 7H -> 27
1H 4D 6H 7D -> 27
1H 4D 6H 8H -> 27
1H 4D 6H 8D -> 27
1H 4D 6D 7H -> 27
1H 4D 6D 7D -> 27
1H 4D 6D 8H -> 27
1H 4D 6D 8D -> 27
1H 4D 7H 7D -> 27
1H 5H 5D 6H -> 27
1H 5H 5D 6D -> 27
1H 5H 5D 7H -> 27
1H 5H 5D 7D -> 27
1H 5H 5D 8H -> 27
1H 5H 5D 8D -> 27
1H 5H 6H 6D -> 27
1H 5H 6H 7H -> 27
1H 5H 6H 7D -> 27
1H 5H 6D 7H -> 27
1H 5H 6D 7D -> 27
1H 5D 6H 6D -> 27
1H 5D 6H 7H -> 27
1H 5D 6H 7D -> 27
1H 5D 6D 7H -> 27
1H 5D 6D 7D -> 27
1D 2H 2D 3H -> 2
1D 2H 2D 3D -> 15
1D 2H 2D 4H -> 4
1D 2H 2D 4D -> 17
1D 2H 2D 5H -> 5
1D 2H 2D 5D -> 18
1D 2H 2D 6H -> 6
1D 2H 2D 6D -> 19
1D 2H 2D 7H -> 7
1D 2H 2D 7D -> 20
1D 2H 2D 8H -> 8
1D 2H 2D 8D -> 21
1D 2H 2D 9H -> 9
1D 2H 2D 9D -> 22
1D 2H 2D 10H -> 10
1D 2H 2D 10D -> 23
1D 2H 2D 11H -> 11
1D 2H 2D 11D -> 24
1D 2H 2D 12H -> 12
1D 2H 2D 12D -> 25
1D 2H 2D 13H -> 13
1D 2H 2D 13D -> 26
1D 2H 3H 3D -> 3
1D 2H 3H 4H -> 4
1D 2H 3H 4D -> 17
1D 2H 3H 5H -> 5
1D 2H 3H 5D -> 18
1D 2H 3H 6H -> 6
1D 2H 3H 6D -> 19
1D 2H 3H 7H -> 7
1D 2H 3H 7D -> 20
1D 2H 3H 8H -> 8
1D 2H 3H 8D -> 21
1D 2H 3H 9H -> 9
1D 2H 3H 9D -> 22
1D 2H 3H 10H -> 10
1D 2H 3H 10D -> 23
1D 2H 3H 11H -> 11
1D 2H 3H 11D -> 24
1D 2H 3H 12H -> 12
1D 2H 3H 12D -> 25
1D 2H 3H 13H -> 13
1D 2H 3H 13D -> 26
1D 2H 3D 4H -> 4
1D 2H 3D 4D -> 17
1D 2H 3D 5H -> 5
1D 2H 3D 5D -> 18
1D 2H 3D 6H -> 6
1D 2H 3D 6D -> 19
1D 2H 3D 7H -> 7
1D 2H 3D 7D -> 20
1D 2H 3D 8H -> 8
1D 2H 3D 8D -> 21
1D 2H 3D 9H -> 9
1D 2H 3D 9D -> 22
1D 2H 3D 10H -> 10
1D 2H 3D 10D -> 23
1D 2H 3D 11H -> 11
1D 2H 3D 11D -> 24
1D 2H 3D 12H -> 12
1D 2H 3D 12D -> 25
1D 2H 3D 13H -> 13
1D 2H 3D 13D -> 26
1D 2H 4H 4D -> 4
1D 2H 4H 5H -> 5
1D 2H 4H 5D -> 18
1D 2H 4H 6H -> 6
1D 2H 4H 6D -> 19
1D 2H 4H 7H -> 7
1D 2H 4H 7D -> 20
1D 2H 4H 8H -> 8
1D 2H 4H 8D -> 21
1D 2H 4H 9H -> 27
1D 2H 4H 9D -> 27
1D 2H 4H 10H -> 27
1D 2H 4H 10D -> 27
1D 2H 4H 11H -> 27
1D 2H 4H 11D -> 27
1D 2H 4H 12H -> 27
1D 2H 4H 12D -> 27
1D 2H 4D 5H -> 5
1D 2H 4D 5D -> 18
1D 2H 4D 6H -> 6
1D 2H 4D 6D -> 19
1D 2H 4D 7H -> 7
1D 2H 4D 7D -> 20
1D 2H 4D 8H -> 8
1D 2H 4D 8D -> 21
1D 2H 4D 9H -> 27
1D 2H 4D 9D -> 27
1D 2H 4D 10H -> 27
1D 2H 4D 10D -> 27
1D 2H 4D 11H -> 27
1D 2H 4D 11D -> 27
1D 2H 4D 12H -> 27
1D 2H 4D 12D -> 27
1D 2H 5H 5D -> 5
1D 2H 5H 6H -> 27
1D 2H 5H 6D -> 27
1D 2H 5H 7H -> 27
1D 2H 5H 7D -> 27
1D 2H 5H 8H -> 27
1D 2H 5H 8D -> 27
1D 2H 5H 9H -> 27
1D 2H 5H 9D -> 27
1D 2H 5H 10H -> 27
1D 2H 5H 10D -> 27
1D 2H 5H 11H -> 27
1D 2H 5H 11D -> 27
1D 2H 5D 6H -> 27
1D 2H 5D 6D -> 27
1D 2H 5D 7H -> 27
1D 2H 5D 7D -> 27
1D 2H 5D 8H -> 27
1D 2H 5D 8D -> 27
1D 2H 5D 9H -> 27
1D 2H 5D 9D -> 27
1D 2H 5D 10H -> 27
1D 2H 5D 10D -> 27
1D 2H 5D 11H -> 27
1D 2H 5D 11D -> 27
1D 2H 6H 6D -> 27
1D 2H 6H 7H -> 27
1D 2H 6H 7D -> 27
1D 2H 6H 8H -> 27
1D 2H 6H 8D -> 27
1D 2H 6H 9H -> 27
1D 2H 6H 9D -> 27
1D 2H 6H 10H -> 27
1D 2H 6H 10D -> 27
1D 2H 6D 7H -> 27
1D 2H 6D 7D -> 27
1D 2H 6D 8H -> 27
1D 2H 6D 8D -> 27
1D 2H 6D 9H -> 27
1D 2H 6D 9D -> 27
1D 2H 6D 10H -> 27
1D 2H 6D 10D -> 27
1D 2H 7H 7D -> 27
1D 2H 7H 8H -> 27
1D 2H 7H 8D -> 27
1D 2H 7H 9H -> 27
1D 2H 7H 9D -> 27
1D 2H 7D 8H -> 27
1D 2H 7D 8D -> 27
1D 2H 7D 9H -> 27
1D 2H 7D 9D -> 27
1D 2H 8H 8D -> 27
1D 2D 3H 3D -> 16
1D 2D 3H 4H -> 4
1D 2D 3H 4D -> 17
1D 2D 3H 5H -> 5
1D 2D 3H 5D -> 18
1D 2D 3H 6H -> 6
1D 2D 3H 6D -> 19
1D 2D 3H 7H -> 7
1D 2D 3H 7D -> 20
1D 2D 3H 8H -> 8
1D 2D 3H 8D -> 21
1D 2D 3H 9H -> 9
1D 2D 3H 9D -> 22
1D 2D 3H 10H -> 10
1D 2D 3H 10D -> 23
1D 2D 3H 11H -> 11
1D 2D 3H 11D -> 24
1D 2D 3H 12H -> 12
1D 2D 3H 12D -> 25
1D 2D 3H 13H -> 13
1D 2D 3H 13D -> 26
1D 2D 3D 4H -> 4
1D 2D 3D 4D -> 17
1D 2D 3D 5H -> 5
1D 2D 3D 5D -> 18
1D 2D 3D 6H -> 6
1D 2D 3D 6D -> 19
1D 2D 3D 7H -> 7
1D 2D 3D 7D -> 20
1D 2D 3D 8H -> 8
1D 2D 3D 8D -> 21
1D 2D 3D 9H -> 9
1D 2D 3D 9D -> 22
1D 2D 3D 10H -> 10
1D 2D 3D 10D -> 23
1D 2D 3D 11H -> 11
1D 2D 3D 11D -> 24
1D 2D 3D 12H -> 12
1D 2D 3D 12D -> 25
1D 2D 3D 13H -> 13
1D 2D 3D 13D -> 26
1D 2D 4H 4D -> 4
1D 2D 4H 5H -> 5
1D 2D 4H 5D -> 18
1D 2D 4H 6H -> 6
1D 2D 4H 6D -> 19
1D 2D 4H 7H -> 7
1D 2D 4H 7D -> 20
1D 2D 4H 8H -> 8
1D 2D 4H 8D -> 21
1D 2D 4H 9H -> 27
1D 2D 4H 9D -> 27
1D 2D 4H 10H -> 27
1D 2D 4H 10D -> 27
1D 2D 4H 11H -> 27
1D 2D 4H 11D -> 27
1D 2D 4H 12H -> 27
1D 2D 4H 12D -> 27
1D 2D 4D 5H -> 5
1D 2D 4D 5D -> 18
1D 2D 4D 6H -> 6
1D 2D 4D 6D -> 19
1D 2D 4D 7H -> 7
1D 2D 4D 7D -> 20
1D 2D 4D 8H -> 8
1D 2D 4D 8D -> 21
1D 2D 4D 9H -> 27
1D 2D 4D 9D -> 27
1D 2D 4D 10H -> 27
1D 2D 4D 10D -> 27
1D 2D 4D 11H -> 27
1D 2D 4D 11D -> 27
1D 2D 4D 12H -> 27
1D 2D 4D 12D -> 27
1D 2D 5H 5D -> 5
1D 2D 5H 6H -> 27
1D 2D 5H 6D -> 27
1D 2D 5H 7H -> 27
1D 2D 5H 7D -> 27
1D 2D 5H 8H -> 27
1D 2D 5H 8D -> 27
1D 2D 5H 9H -> 27
1D 2D 5H 9D -> 27
1D 2D 5H 10H -> 27
1D 2D 5H 10D -> 27
1D 2D 5H 11H -> 27
1D 2D 5H 11D -> 27
1D 2D 5D 6H -> 27
1D 2D 5D 6D -> 27
1D 2D 5D 7H -> 27
1D 2D 5D 7D -> 27
1D 2D 5D 8H -> 27
1D 2D 5D 8D -> 27
1D 2D 5D 9H -> 27
1D 2D 5D 9D -> 27
1D 2D 5D 10H -> 27
1D 2D 5D 10D -> 27
1D 2D 5D 11H -> 27
1D 2D 5D 11D -> 27
1D 2D 6H 6D -> 27
1D 2D 6H 7H -> 27
1D 2D 6H 7D -> 27
1D 2D 6H 8H -> 27
1D 2D 6H 8D -> 27
1D 2D 6H 9H -> 27
1D 2D 6H 9D -> 27
1D 2D 6H 10H -> 27
1D 2D 6H 10D -> 27
1D 2D 6D 7H -> 27
1D 2D 6D 7D -> 27
1D 2D 6D 8H -> 27
1D 2D 6D 8D -> 27
1D 2D 6D 9H -> 27
1D 2D 6D 9D -> 27
1D 2D 6D 10H -> 27
1D 2D 6D 10D -> 27
1D 2D 7H 7D -> 27
1D 2D 7H 8H -> 27
1D 2D 7H 8D -> 27
1D 2D 7H 9H -> 27
1D 2D 7H 9D -> 27
1D 2D 7D 8H -> 27
1D 2D 7D 8D -> 27
1D 2D 7D 9H -> 27
1D 2D 7D 9D -> 27
1D 2D 8H 8D -> 27
1D 3H 3D 4H -> 4
1D 3H 3D 4D -> 17
1D 3H 3D 5H -> 5
1D 3H 3D 5D -> 18
1D 3H 3D 6H -> 6
1D 3H 3D 6D -> 19
1D 3H 3D 7H -> 7
1D 3H 3D 7D -> 20
1D 3H 3D 8H -> 8
1D 3H 3D 8D -> 21
1D 3H 3D 9H -> 27
1D 3H 3D 9D -> 27
1D 3H 3D 10H -> 27
1D 3H 3D 10D -> 27
1D 3H 3D 11H -> 27
1D 3H 3D 11D -> 27
1D 3H 3D 12H -> 27
1D 3H 3D 12D -> 27
1D 3H 4H 4D -> 4
1D 3H 4H 5H -> 27
1D 3H 4H 5D -> 27
1D 3H 4H 6H -> 6
1D 3H 4H 6D -> 19
1D 3H 4H 7H -> 27
1D 3H 4H 7D -> 27
1D 3H 4H 8H -> 27
1D 3H 4H 8D -> 27
1D 3H 4H 9H -> 27
1D 3H 4H 9D -> 27
1D 3H 4H 10H -> 27
1D 3H 4H 10D -> 27
1D 3H 4H 11H -> 27
1D 3H 4H 11D -> 27
1D 3H 4D 5H -> 27
1D 3H 4D 5D -> 27
1D 3H 4D 6H -> 6
1D 3H 4D 6D -> 19
1D 3H 4D 7H -> 27
1D 3H 4D 7D -> 27
1D 3H 4D 8H -> 27
1D 3H 4D 8D -> 27
1D 3H 4D 9H -> 27
1D 3H 4D 9D -> 27
1D 3H 4D 10H -> 27
1D 3H 4D 10D -> 27
1D 3H 4D 11H -> 27
1D 3H 4D 11D -> 27
1D 3H 5H 5D -> 27
1D 3H 5H 6H -> 27
1D 3H 5H 6D -> 27
1D 3H 5H 7H -> 27
1D 3H 5H 7D -> 27
1D 3H 5H 8H -> 27
1D 3H 5H 8D -> 27
1D 3H 5H 9H -> 27
1D 3H 5H 9D -> 27
1D 3H 5H 10H -> 27
1D 3H 5H 10D -> 27
1D 3H 5D 6H -> 27
1D 3H 5D 6D -> 27
1D 3H 5D 7H -> 27
1D 3H 5D 7D -> 27
1D 3H 5D 8H -> 27
1D 3H 5D 8D -> 27
1D 3H 5D 9H -> 27
1D 3H 5D 9D -> 27
1D 3H 5D 10H -> 27
1D 3H 5D 10D -> 27
1D 3H 6H 6D -> 27
1D 3H 6H 7H -> 27
1D 3H 6H 7D -> 27
1D 3H 6H 8H -> 27
1D 3H 6H 8D -> 27
1D 3H 6H 9H -> 27
1D 3H 6H 9D -> 27
1D 3H 6D 7H -> 27
1D 3H 6D 7D -> 27
1D 3H 6D 8H -> 27
1D 3H 6D 8D -> 27
1D 3H 6D 9H -> 27
1D 3H 6D 9D -> 27
1D 3H 7H 7D -> 27
1D 3H 7H 8H -> 27
1D 3H 7H 8D -> 27
1D 3H 7D 8H -> 27
1D 3H 7D 8D -> 27
1D 3D 4H 4D -> 4
1D 3D 4H 5H -> 27
1D 3D 4H 5D -> 27
1D 3D 4H 6H -> 6
1D 3D 4H 6D -> 19
1D 3D 4H 7H -> 27
1D 3D 4H 7D -> 27
1D 3D 4H 8H -> 27
1D 3D 4H 8D -> 27
1D 3D 4H 9H -> 27
1D 3D 4H 9D -> 27
1D 3D 4H 10H -> 27
1D 3D 4H 10D -> 27
1D 3D 4H 11H -> 27
1D 3D 4H 11D -> 27
1D 3D 4D 5H -> 27
1D 3D 4D 5D -> 27
1D 3D 4D 6H -> 6
1D 3D 4D 6D -> 19
1D 3D 4D 7H -> 27
1D 3D 4D 7D -> 27
1D 3D 4D 8H -> 27
1D 3D 4D 8D -> 27
1D 3D 4D 9H -> 27
1D 3D 4D 9D -> 27
1D 3D 4D 10H -> 27
1D 3D 4D 10D -> 27
1D 3D 4D 11H -> 27
1D 3D 4D 11D -> 27
1D 3D 5H 5D -> 27
1D 3D 5H 6H -> 27
1D 3D 5H 6D -> 27
1D 3D 5H 7H -> 27
1D 3D 5H 7D -> 27
1D 3D 5H 8H -> 27
1D 3D 5H 8D -> 27
1D 3D 5H 9H -> 27
1D 3D 5H 9D -> 27
1D 3D 5H 10H -> 27
1D 3D 5H 10D -> 27
1D 3D 5D 6H -> 27
1D 3D 5D 6D -> 27
1D 3D 5D 7H -> 27
1D 3D 5D 7D -> 27
1D 3D 5D 8H -> 27
1D 3D 5D 8D -> 27
1D 3D 5D 9H -> 27
1D 3D 5D 9D -> 27
1D 3D 5D 10H -> 27
1D 3D 5D 10D -> 27
1D 3D 6H 6D -> 27
1D 3D 6H 7H -> 27
1D 3D 6H 7D -> 27
1D 3D 6H 8H -> 27
1D 3D 6H 8D -> 27
1D 3D 6H 9H -> 27
1D 3D 6H 9D -> 27
1D 3D 6D 7H -> 27
1D 3D 6D 7D -> 27
1D 3D 6D 8H -> 27
1D 3D 6D 8D -> 27
1D 3D 6D 9H -> 27
1D 3D 6D 9D -> 27
1D 3D 7H 7D -> 27
1D 3D 7H 8H -> 27
1D 3D 7H 8D -> 27
1D 3D 7D 8H -> 27
1D 3D 7D 8D -> 27
1D 4H 4D 5H -> 27
1D 4H 4D 5D -> 27
1D 4H 4D 6H -> 27
1D 4H 4D 6D -> 27
1D 4H 4D 7H -> 27
1D 4H 4D 7D -> 27
1D 4H 4D 8H -> 27
1D 4H 4D 8D -> 27
1D 4H 4D 9H -> 27
1D 4H 4D 9D -> 27
1D 4H 4D 10H -> 27
1D 4H 4D 10D -> 27
1D 4H 5H 5D -> 27
1D 4H 5H 6H -> 27
1D 4H 5H 6D -> 27
1D 4H 5H 7H -> 27
1D 4H 5H 7D -> 27
1D 4H 5H 8H -> 27
1D 4H 5H 8D -> 27
1D 4H 5H 9H -> 27
1D 4H 5H 9D -> 27
1D 4H 5D 6H -> 27
1D 4H 5D 6D -> 27
1D 4H 5D 7H -> 27
1D 4H 5D 7D -> 27
1D 4H 5D 8H -> 27
1D 4H 5D 8D -> 27
1D 4H 5D 9H -> 27
1D 4H 5D 9D -> 27
1D 4H 6H 6D -> 27
1D 4H 6H 7H -> 27
1D 4H 6H 7D -> 27
1D 4H 6H 8H -> 27
1D 4H 6H 8D -> 27
1D 4H 6D 7H -> 27
1D 4H 6D 7D -> 27
1D 4H 6D 8H -> 27
1D 4H 6D 8D -> 27
1D 4H 7H 7D -> 27
1D 4D 5H 5D -> 27
1D 4D 5H 6H -> 27
1D 4D 5H 6D -> 27
1D 4D 5H 7H -> 27
1D 4D 5H 7D -> 27
1D 4D 5H 8H -> 27
1D 4D 5H 8D -> 27
1D 4D 5H 9H -> 27
1D 4D 5H 9D -> 27
1D 4D 5D 6H -> 27
1D 4D 5D 6D -> 27
1D 4D 5D 7H -> 27
1D 4D 5D 7D -> 27
1D 4D 5D 8H -> 27
1D 4D 5D 8D -> 27
1D 4D 5D 9H -> 27
1D 4D 5D 9D -> 27
1D 4D 6H 6D -> 27
1D 4D 6H 7H -> 27
1D 4D 6H 7D -> 27
1D 4D 6H 8H -> 27
1D 4D 6H 8D -> 27
1D 4D 6D 7H -> 27
1D 4D 6D 7D -> 27
1D 4D 6D 8H -> 27
1D 4D 6D 8D -> 27
1D 4D 7H 7D -> 27
1D 5H 5D 6H -> 27
1D 5H 5D 6D -> 27
1D 5H 5D 7H -> 27
1D 5H 5D 7D -> 27
1D 5H 5D 8H -> 27
1D 5H 5D 8D -> 27
1D 5H 6H 6D -> 27
1D 5H 6H 7H -> 27
1D 5H 6H 7D -> 27
1D 5H 6D 7H -> 27
1D 5H 6D 7D -> 27
1D 5D 6H 6D -> 27
1D 5D 6H 7H -> 27
1D 5D 6H 7D -> 27
1D 5D 6D 7H -> 27
1D 5D 6D 7D -> 27
2H 2D 3H 3D -> 3
2H 2D 3H 4H -> 4
2H 2D 3H 4D -> 17
2H 2D 3H 5H -> 5
2H 2D 3H 5D -> 18
2H 2D 3H 6H -> 6
2H 2D 3H 6D -> 19
2H 2D 3H 7H -> 7
2H 2D 3H 7D -> 20
2H 2D 3H 8H -> 27
2H 2D 3H 8D -> 27
2H 2D 3H 9H -> 27
2H 2D 3H 9D -> 27
2H 2D 3H 10H -> 27
2H 2D 3H 10D -> 27
2H 2D 3H 11H -> 27
2H 2D 3H 11D -> 27
2H 2D 3H 12H -> 27
2H 2D 3H 12D -> 27
2H 2D 3D 4H -> 4
2H 2D 3D 4D -> 17
2H 2D 3D 5H -> 5
2H 2D 3D 5D -> 18
2H 2D 3D 6H -> 6
2H 2D 3D 6D -> 19
2H 2D 3D 7H -> 7
2H 2D 3D 7D -> 20
2H 2D 3D 8H -> 27
2H 2D 3D 8D -> 27
2H 2D 3D 9H -> 27
2H 2D 3D 9D -> 27
2H 2D 3D 10H -> 27
2H 2D 3D 10D -> 27
2H 2D 3D 11H -> 27
2H 2D 3D 11D -> 27
2H 2D 3D 12H -> 27
2H 2D 3D 12D -> 27
2H 2D 4H 4D -> 4
2H 2D 4H 5H -> 5
2H 2D 4H 5D -> 18
2H 2D 4H 6H -> 27
2H 2D 4H 6D -> 27
2H 2D 4H 7H -> 27
2H 2D 4H 7D -> 27
2H 2D 4H 8H -> 27
2H 2D 4H 8D -> 27
2H 2D 4H 9H -> 27
2H 2D 4H 9D -> 27
2H 2D 4H 10H -> 27
2H 2D 4H 10D -> 27
2H 2D 4H 11H -> 27
2H 2D 4H 11D -> 27
2H 2D 4D 5H -> 5
2H 2D 4D 5D -> 18
2H 2D 4D 6H -> 27
2H 2D 4D 6D -> 27
2H 2D 4D 7H -> 27
2H 2D 4D 7D -> 27
2H 2D 4D 8H -> 27
2H 2D 4D 8D -> 27
2H 2D 4D 9H -> 27
2H 2D 4D 9D -> 27
2H 2D 4D 10H -> 27
2H 2D 4D 10D -> 27
2H 2D 4D 11H -> 27
2H 2D 4D 11D -> 27
2H 2D 5H 5D -> 27
2H 2D 5H 6H -> 27
2H 2D 5H 6D -> 27
2H 2D 5H 7H -> 27
2H 2D 5H 7D -> 27
2H 2D 5H 8H -> 27
2H 2D 5H 8D -> 27
2H 2D 5H 9H -> 27
2H 2D 5H 9D -> 27
2H 2D 5H 10H -> 27
2H 2D 5H 10D -> 27
2H 2D 5D 6H -> 27
2H 2D 5D 6D -> 27
2H 2D 5D 7H -> 27
2H 2D 5D 7D -> 27
2H 2D 5D 8H -> 27
2H 2D 5D 8D -> 27
2H 2D 5D 9H -> 27
2H 2D 5D 9D -> 27
2H 2D 5D 10H -> 27
2H 2D 5D 10D -> 27
2H 2D 6H 6D -> 27
2H 2D 6H 7H -> 27
2H 2D 6H 7D -> 27
2H 2D 6H 8H -> 27
2H 2D 6H 8D -> 27
2H 2D 6H 9H -> 27
2H 2D 6H 9D -> 27
2H 2D 6D 7H -> 27
2H 2D 6D 7D -> 27
2H 2D 6D 8H -> 27
2H 2D 6D 8D -> 27
2H 2D 6D 9H -> 27
2H 2D 6D 9D -> 27
2H 2D 7H 7D -> 27
2H 2D 7H 8H -> 27
2H 2D 7H 8D -> 27
2H 2D 7D 8H -> 27
2H 2D 7D 8D -> 27
2H 3H 3D 4H -> 4
2H 3H 3D 4D -> 17
2H 3H 3D 5H -> 5
2H 3H 3D 5D -> 18
2H 3H 3D 6H -> 27
2H 3H 3D 6D -> 27
2H 3H 3D 7H -> 27
2H 3H 3D 7D -> 27
2H 3H 3D 8H -> 27
2H 3H 3D 8D -> 27
2H 3H 3D 9H -> 27
2H 3H 3D 9D -> 27
2H 3H 3D 10H -> 27
2H 3H 3D 10D -> 27
2H 3H 3D 11H -> 27
2H 3H 3D 11D -> 27
2H 3H 4H 4D -> 27
2H 3H 4H 5H -> 27
2H 3H 4H 5D -> 27
2H 3H 4H 6H -> 27
2H 3H 4H 6D -> 27
2H 3H 4H 7H -> 27
2H 3H 4H 7D -> 27
2H 3H 4H 8H -> 27
2H 3H 4H 8D -> 27
2H 3H 4H 9H -> 27
2H 3H 4H 9D -> 27
2H 3H 4H 10H -> 27
2H 3H 4H 10D -> 27
2H 3H 4D 5H -> 27
2H 3H 4D 5D -> 27
2H 3H 4D 6H -> 27
2H 3H 4D 6D -> 27
2H 3H 4D 7H -> 27
2H 3H 4D 7D -> 27
2H 3H 4D 8H -> 27
2H 3H 4D 8D -> 27
2H 3H 4D 9H -> 27
2H 3H 4D 9D -> 27
2H 3H 4D 10H -> 27
2H 3H 4D 10D -> 27
2H 3H 5H 5D -> 27
2H 3H 5H 6H -> 27
2H 3H 5H 6D -> 27
2H 3H 5H 7H -> 27
2H 3H 5H 7D -> 27
2H 3H 5H 8H -> 27
2H 3H 5H 8D -> 27
2H 3H 5H 9H -> 27
2H 3H 5H 9D -> 27
2H 3H 5D 6H -> 27
2H 3H 5D 6D -> 27
2H 3H 5D 7H -> 27
2H 3H 5D 7D -> 27
2H 3H 5D 8H -> 27
2H 3H 5D 8D -> 27
2H 3H 5D 9H -> 27
2H 3H 5D 9D -> 27
2H 3H 6H 6D -> 27
2H 3H 6H 7H -> 27
2H 3H 6H 7D -> 27
2H 3H 6H 8H -> 27
2H 3H 6H 8D -> 27
2H 3H 6D 7H -> 27
2H 3H 6D 7D -> 27
2H 3H 6D 8H -> 27
2H 3H 6D 8D -> 27
2H 3H 7H 7D -> 27
2H 3D 4H 4D -> 27
2H 3D 4H 5H -> 27
2H 3D 4H 5D -> 27
2H 3D 4H 6H -> 27
2H 3D 4H 6D -> 27
2H 3D 4H 7H -> 27
2H 3D 4H 7D -> 27
2H 3D 4H 8H -> 27
2H 3D 4H 8D -> 27
2H 3D 4H 9H -> 27
2H 3D 4H 9D -> 27
2H 3D 4H 10H -> 27
2H 3D 4H 10D -> 27
2H 3D 4D 5H -> 27
2H 3D 4D 5D -> 27
2H 3D 4D 6H -> 27
2H 3D 4D 6D -> 27
2H 3D 4D 7H -> 27
2H 3D 4D 7D -> 27
2H 3D 4D 8H -> 27
2H 3D 4D 8D -> 27
2H 3D 4D 9H -> 27
2H 3D 4D 9D -> 27
2H 3D 4D 10H -> 27
2H 3D 4D 10D -> 27
2H 3D 5H 5D -> 27
2H 3D 5H 6H -> 27
2H 3D 5H 6D -> 27
2H 3D 5H 7H -> 27
2H 3D 5H 7D -> 27
2H 3D 5H 8H -> 27
2H 3D 5H 8D -> 27
2H 3D 5H 9H -> 27
2H 3D 5H 9D -> 27
2H 3D 5D 6H -> 27
2H 3D 5D 6D -> 27
2H 3D 5D 7H -> 27
2H 3D 5D 7D -> 27
2H 3D 5D 8H -> 27
2H 3D 5D 8D -> 27
2H 3D 5D 9H -> 27
2H 3D 5D 9D -> 27
2H 3D 6H 6D -> 27
2H 3D 6H 7H -> 27
2H 3D 6H 7D -> 27
2H 3D 6H 8H -> 27
2H 3D 6H 8D -> 27
2H 3D 6D 7H -> 27
2H 3D 6D 7D -> 27
2H 3D 6D 8H -> 27
2H 3D 6D 8D -> 27
2H 3D 7H 7D -> 27
2H 4H 4D 5H -> 27
2H 4H 4D 5D -> 27
2H 4H 4D 6H -> 27
2H 4H 4D 6D -> 27
2H 4H 4D 7H -> 27
2H 4H 4D 7D -> 27
2H 4H 4D 8H -> 27
2H 4H 4D 8D -> 27
2H 4H 4D 9H -> 27
2H 4H 4D 9D -> 27
2H 4H 5H 5D -> 27
2H 4H 5H 6H -> 27
2H 4H 5H 6D -> 27
2H 4H 5H 7H -> 27
2H 4H 5H 7D -> 27
2H 4H 5H 8H -> 27
2H 4H 5H 8D -> 27
2H 4H 5D 6H -> 27
2H 4H 5D 6D -> 27
2H 4H 5D 7H -> 27
2H 4H 5D 7D -> 27
2H 4H 5D 8H -> 27
2H 4H 5D 8D -> 27
2H 4H 6H 6D -> 27
2H 4H 6H 7H -> 27
2H 4H 6H 7D -> 27
2H 4H 6D 7H -> 27
2H 4H 6D 7D -> 27
2H 4D 5H 5D -> 27
2H 4D 5H 6H -> 27
2H 4D 5H 6D -> 27
2H 4D 5H 7H -> 27
2H 4D 5H 7D -> 27
2H 4D 5H 8H -> 27
2H 4D 5H 8D -> 27
2H 4D 5D 6H -> 27
2H 4D 5D 6D -> 27
2H 4D 5D 7H -> 27
2H 4D 5D 7D -> 27
2H 4D 5D 8H -> 27
2H 4D 5D 8D -> 27
2H 4D 6H 6D -> 27
2H 4D 6H 7H -> 27
2H 4D 6H 7D -> 27
2H 4D 6D 7H -> 27
2H 4D 6D 7D -> 27
2H 5H 5D 6H -> 27
2H 5H 5D 6D -> 27
2H 5H 5D 7H -> 27
2H 5H 5D 7D -> 27
2H 5H 6H 6D -> 27
2H 5D 6H 6D -> 27
2D 3H 3D 4H -> 4
2D 3H 3D 4D -> 17
2D 3H 3D 5H -> 5
2D 3H 3D 5D -> 18
2D 3H 3D 6H -> 27
2D 3H 3D 6D -> 27
2D 3H 3D 7H -> 27
2D 3H 3D 7D -> 27
2D 3H 3D 8H -> 27
2D 3H 3D 8D -> 27
2D 3H 3D 9H -> 27
2D 3H 3D 9D -> 27
2D 3H 3D 10H -> 27
2D 3H 3D 10D -> 27
2D 3H 3D 11H -> 27
2D 3H 3D 11D -> 27
2D 3H 4H 4D -> 27
2D 3H 4H 5H -> 27
2D 3H 4H 5D -> 27
2D 3H 4H 6H -> 27
2D 3H 4H 6D -> 27
2D 3H 4H 7H -> 27
2D 3H 4H 7D -> 27
2D 3H 4H 8H -> 27
2D 3H 4H 8D -> 27
2D 3H 4H 9H -> 27
2D 3H 4H 9D -> 27
2D 3H 4H 10H -> 27
2D 3H 4H 10D -> 27
